status	isa	module	addr	asm_lines	name	note
1	thumb	code_80002A0	0x08004a44	22	VramTransfer_AllocSlot	
1	thumb	code_80002A0	0x08004a6c	21	PalTransfer_AllocSlot	
1	thumb	code_80002A0	0x08004a94	23	PalTransfer_Enqueue	
1	thumb	code_80002A0	0x08004ac0	14	VramTransfer_Clear	
1	thumb	code_80002A0	0x08004adc	40	VramTransfer_Flush	
1	thumb	code_80002A0	0x08004b2c	26	VramTransfer_Enqueue	
1	thumb	code_80002A0	0x08004b60	22	PalTransfer_Clear	
1	thumb	code_80002A0	0x08004b8c	24	SpritePool_Clear	
1	thumb	code_80002A0	0x08004bbc	18	Queue34C0_Clear	
1	thumb	code_80002A0	0x08004be0	15	RenderQueue_Clear	
1	thumb	code_80002A0	0x08004bfc	24	Sprite_AllocNode	
1	thumb	code_80002A0	0x08004c28	56	Sprite_InitChainNode	
1	thumb	code_80002A0	0x08004c8c	20	LoadSpriteSheetGfx	
1	thumb	code_80002A0	0x08004cb8	20	LoadSpriteSheetPal	
1	thumb	code_80002A0	0x08004ce8	27	LoadArrowObjTiles	
1	thumb	code_80002A0	0x08004d20	12	Chara_SetGfxPal	
1	thumb	code_80002A0	0x08004d38	42	Chara_FreeSprite	
1	thumb	code_80002A0	0x08004d8c	11	Chara_SetCmdPtr	
1	thumb	code_80002A0	0x08004da4	21	Chara_StartMoving	
1	thumb	code_80002A0	0x08004dd0	29	Chara_AnyMoving	
1	thumb	code_80002A0	0x08004e04	8	Party_SetFollowMode	
1	thumb	code_80002A0	0x08004e14	22	SetSlotGfxId	
1	thumb	code_80002A0	0x08004e48	22	SetSlotPalId	
1	thumb	code_80002A0	0x08004e7c	5	GetPendingSpriteLoad	
1	thumb	code_80002A0	0x08004e88	23	Chara_SetPosDir	
1	thumb	code_80002A0	0x08004eb8	19	Chara_GetDrawZ	
1	thumb	code_80002A0	0x08004edc	48	Chara_GetDrawX	
1	thumb	code_80002A0	0x08004f3c	22	Sprite_FreeChain	
1	thumb	code_80002A0	0x08004f64	34	Sprite_WriteOam	
1	thumb	code_80002A0	0x08004fa8	20	Chara_StartScriptAnim	
1	thumb	code_80002A0	0x08004fd0	40	Chara_AnimWaitDone	
0	thumb	code_8005020	0x08005020	205	sub_8005020	
1	thumb	code_8005020	0x080051d0	77	ScreenFade_Apply	✅ 2026-09-01 codex: 按 VCOUNT 与 gScreenFadeProgress 的差值写 BLDCNT/BLDALPHA/BLDY; progress 必须 (u16) 读取，保留 bldcnt 死赋值以锁定 r4; fncheck 156B OK
1	thumb	code_8005020	0x0800526c	68	ScreenFade_Update	✅ 2026-09-01 codex: 每帧刷新混合寄存器并按 signed step 推进 ScreenFade 进度/完成位; ROM 140B, fncheck OK
0	thumb	code_8005020	0x080052f8	94	sub_80052F8	
0	thumb	code_8005020	0x080053b4	274	sub_80053B4	
0	thumb	code_8005020	0x080055e8	685	sub_80055E8	⏸ 612指令+r8/sb; 语义已全解(MapZone子系统); 待攻
1	thumb	code_8005020	0x08005b2c	71	MapTile_At	
1	thumb	code_8005020	0x08005bb4	98	MapTile_CollisionBits	
0	thumb	code_8005020	0x08005c70	955	Viewport_UpdateScroll	
1	thumb	code_8005020	0x080064ac	63	BgMap_FillPattern	
1	thumb	code_8005020	0x08006520	107	MapBg_LoadFull	
0	thumb	code_8005020	0x0800661c	1359	MapScene_Load	⏸ 3024B asm; 场景描述符表已结构化为 gMapSceneDescriptors[180] @0x08088D80; fncheck OK (2026-09-02 gpnux)
0	thumb	code_8005020	0x080071ec	88	MapScene_LoadNpcSlotIds	⏸ 176B asm; 按场景 npcSlotGroupId 装载 8 个 NPC 槽的图形/调色板 ID; fncheck OK (2026-09-02 gpnux)
