addr,status,kind,module,name,rom_size
0x08004e14,1,,code_80002A0,SetSlotGfxId,52
0x08004e48,1,,code_80002A0,SetSlotPalId,52
0x08004e7c,1,,code_80002A0,GetPendingSpriteLoad,12
0x08004e88,1,,code_80002A0,Chara_SetPosDir,48
0x08004eb8,1,,code_80002A0,Chara_GetDrawZ,36
0x08004edc,1,,code_80002A0,Chara_GetDrawX,96
0x08004f3c,1,,code_80002A0,Sprite_FreeChain,40
0x08004f64,1,,code_80002A0,Sprite_WriteOam,68
0x08004fa8,1,,code_80002A0,Chara_StartScriptAnim,40
0x08004fd0,1,,code_80002A0,Chara_AnimWaitDone,80
0x08005020,0,,code_8005020,sub_8005020,432
0x080051d0,1,,code_8005020,ScreenFade_Apply,156
0x0800526c,1,,code_8005020,ScreenFade_Update,140
0x080052f8,0,,code_8005020,sub_80052F8,188
0x080053b4,0,,code_8005020,sub_80053B4,564
0x080055e8,0,,code_8005020,sub_80055E8,1348
0x08005b2c,1,,code_8005020,MapTile_At,136
0x08005bb4,1,,code_8005020,MapTile_CollisionBits,188
0x08005c70,0,,code_8005020,Viewport_UpdateScroll,2108
0x080064ac,1,,code_8005020,BgMap_FillPattern,116
0x08006520,1,,code_8005020,MapBg_LoadFull,252
0x0800661c,0,,code_8005020,sub_800661C,3024
0x080071ec,0,,code_8005020,sub_80071EC,176
0x0800729c,1,,code_8005020,MapScene_InitSprites,180
0x08007350,0,,code_8005020,sub_8007350,1556
0x08007964,1,,code_8005020,AnimSlot_Parse,88
0x080079bc,1,,code_8005020,AnimSlot_ParseLoop,96
0x08007a1c,1,,code_8005020,sub_8007A1C,192
0x08007adc,0,,code_8005020,sub_8007ADC,244
0x08007bd0,1,,code_8005020,sub_8007BD0,396
0x08007d5c,1,,code_8005020,MapBg_LoadInterior,604
0x08007fb8,1,,code_8005020,Logo_LoadAssets,364
0x08008124,1,,code_8005020,sub_8008124,156
0x080081c0,1,,code_8005020,BattleIntro_Cursor,148
0x08008254,0,,code_8005020,ChoiceMenu_HandleInput,972
0x08008620,0,,code_8005020,sub_8008620,220
0x080086fc,1,,code_8005020,sub_80086FC,140
0x08008788,1,,code_8005020,IntroBg_Load,300
0x080088b4,1,,code_8005020,ScreenFade_Start,64
0x080088f4,1,,code_8005020,AnimSlot_BankReload,132
0x08008978,1,,code_8005020,Win0H_WaveDmaByVCount,104
0x080089e0,1,,code_8005020,ScreenFx_SetMode,92
0x08008a3c,1,,code_8005020,AnimSlots_Release,36
0x08008a60,1,,code_8005020,AnimSlots_StepAll,32
0x08008a80,1,,code_8005020,BgTiles_LoadUiSet,148
0x08008b14,1,,code_8005020,BgScroll_LoadFromTable,72
0x08008b5c,1,,code_8005020,PlayerSheets_Load,72
0x08008ba4,1,,code_8005020,sub_8008BA4,64
0x08008be4,1,,code_8005020,AnimSlot_Pause,24
0x08008bfc,1,,code_8005020,AnimSlot_Resume,24
0x08008c14,1,,code_8005020,AnimSlot_Active,16
0x08008c24,1,,code_8005020,ReloadSpriteSheet,76
0x08008c70,1,,code_8005020,ReloadAllSpriteSheets,80
0x08008cc0,1,,code_8005020,ChoiceMenu_ResolveDest,88
0x08008d18,1,,code_8005020,DialogPortrait_FlushPending,96
0x08008d78,1,,code_8005020,Camera_GetDrawOffset,84
0x08008dcc,1,,code_8005020,Bgm_Request,12
0x08008dd8,1,,code_8005020,BgPal_ResetFirst,32
0x08008df8,1,,code_8005020,AnimSlot_PlayOnce,76
0x08008e44,1,,code_8005020,BgMap_FillRow,80
0x08008e94,1,,code_8005020,MapBg_FlushPending,148
0x08008f28,0,,code_8005020,sub_8008F28,168
0x08008fd0,1,,code_8005020,Chest_BuildSprite,188
0x0800908c,1,,code_8005020,Chest_Open,136
0x08009114,1,,code_8005020,LoadDigitFontObjTiles,84
0x08009168,1,,code_8005020,ChestFlags_ClearAll,28
0x08009184,1,,code_8005020,ChestFlags_Toggle,32
0x080091a4,1,,code_8005020,ChestFlags_Test,32
0x080091c4,0,,code_8005020,sub_80091C4,428
0x08009370,0,,code_8005020,sub_8009370,184
0x08009428,1,,code_8005020,PaletteFx_Apply,212
0x080094fc,0,,code_8005020,sub_80094FC,260
0x08009600,0,,code_8005020,sub_8009600,1116
0x08009a5c,1,,code_8005020,MenuEnt_ClearStates,32
0x08009a7c,1,,code_8005020,MenuEnt_ParseAll,72
0x08009ac4,1,,code_8005020,MenuEnt_ParseRange,64
0x08009b04,1,,code_8005020,MenuEnt_Unlock,24
0x08009b1c,1,,code_8005020,MenuEnt_Lock,24
0x08009b34,1,,code_8005020,MenuEnt_GetState,16
0x08009b44,1,,code_8005020,Palette_Backup,32
0x08009b64,1,,code_8005020,Palette_FillWhite,32
0x08009b84,1,,code_8005020,MenuEnt_ParseDesc,108
0x08009bf0,1,,code_8005020,StaticObjGfx_LoadPair,148
0x08009c84,1,,code_8005020,StaticObjs_Spawn,176
0x08009d34,1,,code_8005020,StaticObjs_StepAll,332
0x08009e80,1,,code_8005020,StaticObj_BuildChain,200
0x08009f48,1,,code_8005020,StaticObjs_Reset,40
0x08009f70,0,,code_8005020,sub_8009F70,216
0x0800a048,1,,code_8005020,Stats_BuildSkillList,156
0x0800a0e4,1,,code_8005020,Chara_GetFormGfx,208
0x0800a1b4,0,,code_8005020,sub_800A1B4,532
0x0800a3c8,0,,code_8005020,sub_800A3C8,364
0x0800a534,0,,code_8005020,sub_800A534,304
0x0800a664,0,,code_8005020,sub_800A664,312
0x0800a79c,1,,code_8005020,Stats_RecalcEquip,208
0x0800a86c,1,,code_8005020,ExpToLevel,52
0x0800a8a0,1,,code_8005020,LevelToExp,48
0x0800a8d0,1,,code_8005020,ItemFindSlot,84
0x0800a924,1,,code_8005020,Party_InitStats,52
0x0800a958,1,,code_8005020,ItemGetValue,24
0x0800a970,1,,code_8005020,sub_800A970,8
0x0800a978,1,,code_8005020,sub_800A978,8
0x0800a980,1,,code_8005020,FullHealParty,64
0x0800a9c0,1,,code_8005020,EquipItem,160
0x0800aa60,1,,code_8005020,sub_800AA60,36
0x0800aa84,1,,code_8005020,sub_800AA84,32
0x0800aaa4,1,,code_8005020,Silver_Add,28
0x0800aac0,1,,code_8005020,Silver_Sub,28
0x0800aadc,1,,code_8005020,sub_800AADC,28
0x0800aaf8,1,,code_8005020,sub_800AAF8,32
0x0800ab18,1,,code_8005020,sub_800AB18,36
0x0800ab3c,1,,code_8005020,Party_AnyEquip,64
0x0800ab7c,1,,code_8005020,Chara_ClearTempStatus,64
0x0800abbc,1,,code_8005020,Stats_ClearEquipBonus,76
0x0800ac08,1,,code_8005020,PartyForm_ApplyBonus,156
0x0800aca4,1,,code_8005020,FullHealCharacter,36
0x0800acc8,0,,code_8005020,sub_800ACC8,1156
0x0800b14c,1,,code_8005020,SceneBg_Reload,388
0x0800b2d0,1,,code_8005020,MenuState_Reset,68
0x0800b314,1,,code_8005020,MenuHp_Update,96
0x0800b374,0,,code_8005020,sub_800B374,2928
0x0800bee4,1,,code_8005020,Msg_RenderLine,120
0x0800bf5c,1,,code_8005020,PartyUi_InitEntities,156
0x0800bff8,0,,code_8005020,sub_800BFF8,224
0x0800c0d8,1,,code_8005020,BattleIntro_Setup,188
0x0800c194,0,,code_8005020,sub_800C194,356
0x0800c2f8,0,,code_8005020,sub_800C2F8,7800
0x0800e170,1,,code_8005020,MenuUi_SetEntityPos,212
0x0800e244,0,,code_8005020,sub_800E244,1060
0x0800e668,1,,code_8005020,sub_800E668,180
0x0800e71c,1,,code_8005020,UiSprite_BeginSlide,160
0x0800e7bc,1,,code_8005020,UiSprites_Update,316
0x0800e8f8,0,,code_8005020,sub_800E8F8,492
0x0800eae4,0,,code_8005020,sub_800EAE4,180
0x0800eb98,1,,code_8005020,MenuUi_SpawnAuxSprites,188
0x0800ec54,0,,code_8005020,sub_800EC54,1236
0x0800f128,0,,code_8005020,sub_800F128,644
0x0800f3ac,0,,code_8005020,sub_800F3AC,252
0x0800f4a8,1,,code_8005020,MenuUi_DrawItemList,456
0x0800f670,1,,code_8005020,sub_800F670,156
0x0800f70c,0,,code_8005020,sub_800F70C,792
0x0800fa24,0,,code_8005020,sub_800FA24,264
0x0800fb2c,0,,code_8005020,sub_800FB2C,704
0x0800fdec,0,,code_8005020,sub_800FDEC,292
0x0800ff10,0,,code_8005020,sub_800FF10,608
0x08010170,0,,code_8005020,sub_8010170,252
0x0801026c,1,,code_8005020,ItemGetUsePower,148
0x08010300,0,,code_8005020,sub_8010300,308
0x08010434,1,,code_8005020,WarpTable_Check,196
0x080104f8,0,,code_8005020,sub_80104F8,300
0x08010624,0,,code_8005020,sub_8010624,332
0x08010770,0,,code_8005020,sub_8010770,520
0x08010978,1,,code_8005020,ScreenIdleIcons_BuildList,128
0x080109f8,1,,save,Save_Fsm,500
0x08010bec,1,,save,Save_FillSlot0,224
0x08010ccc,1,,save,Save_FillSlot1,180
0x08010d80,1,,save,Save_FillSlot2,216
0x08010e58,1,,save,Save_FillSlot3,184
0x08010f10,0,,code_8010F10,sub_8010F10,572
0x0801114c,1,,code_8010F10,sub_801114C,284
0x08011268,0,,code_8010F10,sub_8011268,356
0x080113cc,0,,code_8010F10,sub_80113CC,136
0x08011454,0,,code_8010F10,sub_8011454,4316
0x08012530,0,,code_8010F10,sub_8012530,608
0x08012790,0,,code_8010F10,sub_8012790,4320
0x08013870,0,,code_8010F10,sub_8013870,196
0x08013934,0,,code_8010F10,sub_8013934,472
0x08013b0c,0,,code_8010F10,sub_8013B0C,244
0x08013c00,0,,code_8010F10,sub_8013C00,828
0x08013f3c,1,,code_8010F10,Save_LoadSlot0,172
0x08013fe8,1,,code_8010F10,Save_LoadContinue,156
0x08014084,1,,code_8010F10,SaveTimer_CountUsed,76
0x080140d0,1,,code_8010F10,SaveTimer_Inc,84
0x08014124,1,,code_8010F10,SaveTimer_Dec,88
0x0801417c,0,,code_8010F10,sub_801417C,780
0x08014488,1,,code_8010F10,sub_8014488,212
0x0801455c,1,,code_8010F10,sub_801455C,332
0x080146a8,0,,code_8010F10,sub_80146A8,960
0x08014a68,0,,code_8010F10,sub_8014A68,2516
0x0801543c,1,,code_8010F10,sub_801543C,172
0x080154e8,0,,code_8010F10,sub_80154E8,368
0x08015658,0,,code_8010F10,sub_8015658,1176
0x08015af0,1,,code_8010F10,sub_8015AF0,160
